County_States,2015_Tract_population,adjusted_hdi,unadjusted_hdi,unadjusted_income_index,adjusted_income_index,expect_edu_index,mean_edu_index,final_edu_index,le_index,Macroregion
"Anne Arundel County, MD",555280,685.9710726413119,938.8269471216632,1010.4983942385909,999.5739438098119,896.5140109425191,907.5571068919485,902.035558917234,907.2149901380669,South
"Anoka County, MN",338764,846.9287020276735,926.0700414578143,976.065340005893,972.4828227319267,890.609255863489,876.3321025668172,883.470679215153,923.8259109311741,Midwest
"Anson County, NC",26135,569.7397265719422,851.3774893082262,889.3360365067965,899.4883033468599,851.1607804446663,782.0177286058406,816.5892545252533,855.3846153846152,South
"Antelope County, NE",6486,931.9264801540976,925.6310590797724,956.781087331961,976.4347499559141,886.1728181937519,848.7636106999522,867.4682144468524,957.4358974358973,Midwest
"Antrim County, MI",23267,464.35392188320037,922.520037494661,958.00414807647,977.6578107004223,838.5597640063978,864.6822554362573,851.6210097213277,935.1692307692308,Midwest
"Apache County, AZ",72124,726.8518792263018,824.2565818837562,837.5771750303744,857.2308376543278,827.6638125317438,744.5568974831301,786.110355007437,857.912087912088,West
"Appanoose County, IA",12669,885.1342180627304,879.028766502428,936.6402056076986,956.293868231652,830.6931736843187,829.340859946574,830.0170168154461,874.7692307692308,Midwest
"Appling County, GA",18417,511.76799548804536,846.9062095412114,902.2491091844,921.9027718083531,774.4491088932166,771.5657282995423,773.0074185963797,844.5641025641027,South
"Appomattox County, VA",15208,590.4207816802433,881.1483535425525,938.7504454619593,953.162700708705,840.1399422088693,822.7576929913527,831.4488176001106,881.5384615384614,South
"Aransas County, TX",24292,296.0782431163727,885.1414705051645,973.3529577507991,983.6668679785519,763.1498927227076,836.787393996643,799.9686433596753,858.102564102564,South
"Arapahoe County, CO",608310,846.8702552387359,931.8173537788227,983.8311801894778,975.0293276561106,878.274831142777,912.0903792831699,895.1826052129735,919.5843857634902,West
"Archer County, TX",8779,909.6143741207501,904.7381278012502,968.8795941713661,984.6271573963427,869.7487797103336,833.3950130089453,851.5718963596393,897.9487179487177,South
"Archuleta County, CO",12174,705.4792087138578,934.4023688894267,971.110685429389,990.7643480533427,829.9440896610895,896.6429867942352,863.293538227662,968.7179487179477,West
"Arenac County, MI",15424,625.787152071649,869.950829712751,919.9596828295341,939.6133454534877,828.901408766689,804.0316864508686,816.4665476087788,877.9780219780221,Midwest
"Arkansas County, AR",18731,866.3738831694911,860.3341932409618,927.3031654458022,946.9568280697549,841.8957680962476,791.0345649674157,816.4651665318316,841.9230769230768,South
"Arlington County, VA",223945,795.9293144283356,986.4907928953443,1077.7140082647918,1051.3104799471987,854.5389607722032,1030.4516722830354,945.5257296218756,955.6000000000001,South
"Armstrong County, PA",67979,887.1364068114748,884.5592181925701,938.3431553719956,946.5690743455715,835.4787881575802,825.1494052378767,830.3140966977284,889.0688259109311,Northeast
"Armstrong County, TX",1943,925.983427347595,922.506154474768,965.7655985741968,976.7278176570992,739.404276684978,856.921212121212,798.162744403095,1018.46153846154,South
"Aroostook County, ME",70005,900.460864358518,894.1565892987197,922.8473109795214,942.5009736034748,893.9442917952733,822.4059726633521,858.1751322293126,903.2307692307689,Northeast
"Arthur County, NE",448,928.6166225021368,922.138432548144,926.0133783477968,945.667040971751,932.539682539682,905.215419501134,918.877551020408,921.538461538462,Midwest
"Ascension Parish, LA",114738,188.34772870899178,875.478190742849,957.093341495582,968.2180734842932,883.9457981674151,837.3854802431234,860.6656392052693,901.5384615384615,South
"Ashe County, NC",27114,427.5314157326643,848.9078483565136,912.976392317078,932.6300549410313,847.5961249998123,804.3031556690559,825.9496403344342,857.4358974358976,South
"Ashland County, OH",53189,819.6783549540597,895.3547603134493,927.0017512418104,946.655413865764,893.5622962661243,839.5778292371177,866.5700627516209,893.3846153846152,Midwest
"Ashland County, WI",15993,785.465691150356,891.4070093325578,925.1304761913137,944.784138815267,861.8064319789727,864.8198272802267,863.3131296295995,887.5384615384611,Midwest
"Ashley County, AR",21229,872.302689344584,866.1276315153885,912.6215620070458,932.2752246309989,857.4054060567516,797.5665585319097,827.4859822943307,861.802197802198,South
"Ashtabula County, OH",99777,737.6786280544609,865.6457364857605,911.3230585688427,930.976721192796,834.2948581366321,809.4057924765569,821.8503253065944,856.6153846153846,Midwest
"Asotin County, WA",22040,897.6601369390231,892.838132675049,935.8003544398442,951.045792887625,873.3156384892936,837.0422750542663,855.17895677178,889.7179487179487,West
"Assumption Parish, LA",23057,724.6059031695768,866.0500633380634,930.8859723464766,942.0107043351878,860.0122733649197,751.1855075017014,805.5988904333102,872.9230769230769,South
